Id	text	user_location
172	kata screening dulu baru kasih vaksin	Bangkalan, Indonesia
173	bagaimana dok vaksinasi sinovac	Banjarmarmasin
174	update daftar vaksin rakyat kuota orang informasi lebih lengkap hubung lima tim laksana vaksin kuota isi	Banjarmasin
175	laksana serentak provinsi bin sasar vaksinasi ribu santri pondok pesantren budi gunawan kata program vaksinasi covid santri rupa arah presiden republik indonesia joko widodo cepat capai herd immunity	Banjarmasin
176	halo kak selamat siang mau tanya kak jadi juli lalu jadwal vaksin kakak	Banjarmasin - Indonesia
177	gagal vaksinasi nomor tiket vaksin sama orang orang vaksinasi adik	Banjarmasin - Indonesia
178	antri vaksin antri belanja	Banjarmasin, Indonesia
179	gubernur jateng nilai antusias anak anak tinggi vaksin covid pihak dorong cepat vaksinasi benteng anak ajar tatap muka mulai bayar tinjau	Banjarnegara
180	banjarnegara kodim reviews preparations for covid vaccinations for wbp banjarnegara prison banjarnegara tni soldiers kodim banjarnegara reviews preparations for covid vaccinations for inmates at wbp penitentiary class iib banjarnegara prison	Banjarnegara, Indonesia
181	stan vaksin covid tni polri polsek bantar gebang polres bantar gebang libat satpol pp kota bekas rs juwita bekas kuota bagai upaya polri bantu cepat gera vaksinasi covid	Bantargebang, Indonesia
182	selebriti gebby vesta marah bandara bikin susah naik pesawat padahal vaksin pcr negatif	Banten
183	antri vaksin pertama kodim cilegon	Banten, Indonesia
184	mau vaksin takut jarum bengkok	Banten, Indonesia
185	vaksin baru dl kopi	Banten, Indonesia
186	anak tetangga vaksin jg bs daftar dicancel dhal bilang mau tambah batpil tugas sehat ngomong paksa	Banten-Depok
187	anak tetangga vaksin jg daftar bs dicancel dhal bilang mau tambah batpil tugas sehat bicara paksa	Banten-Depok
188	vaksin tip kok banyak pihak institusi menteri sehat institusi sehat acara vaksinasi bagaimana	Bantul, Indonesia
189	bagai hasil bisnis	Banyumanik Semarang
190	perintah sedang gencar gencar program vaksinasi ikut anak anak usia    tahun ayo ajak putra putri adik adik lingkung vaksinasi	Banyuwangi, Indonesia
191	lebih butuh sunti dana sunti vaksin	Banyuwangi, Indonesia
192	minta bantu hai vaksinasi mulai tahun baik	Banyuwangi, Indonesia
193	dukung situasi darurat bin wajar bantu vaksinasi	Banyuwangi, Indonesia
194	ngumpul kalau mau vaksin jangan demo kalau mau kwkwk ww	Banyuwangi, Indonesia
195	informasi vaksin bwi daftar online	Banyuwangi, Indonesia
196	klarifikasi hoaks vaksin covid bikin badan kebal	Banyuwangi, Jawa Timur 
197	daftar tips siap vaksin online banyuwangi proses jalan lancar	Banyuwangi, Jawa Timur 
